,Life Expectancy,Cigarette consumption,Alcohol consumption,Incidence of tuberculosis per 100000 per year,GDP per Capita (Current US$),Income Gini Coefficient,Current health expenditure per capita (current US$),Total Population,"Population Density, Number of People/km2","Ambient Air Pollution, Concentration of Fine Particulate Matter PM2.5 (Ug/M3)",Ambient and Household Air Pollution Attributable Death Rate (per 100 000 Population),People using safely managed sanitation services (% of population),"People using safely managed drinking water services, urban (% of urban population)",EPI score,cardiovascular-disease-death-rates,Diabetes prevalence (% of population ages 20 to 79),Acute lower respiratory infections,asthma-prevalence,Democracy Index,"Human Development Index, 2019",Corruption Perceptions Index 2021,UHC service coverage index
59,79.004,27.6,1.53,13.0,2670.44196,0.37220000000000003,663.05109,6769151.0,661.7,30.62,1.6,16.28,78.066,32.2,322.2963555,8.0,0.5,4.717597301,3.84,0.744,24.0,72.0
60,74.257,13.6,6.68,41.0,8603.78991,0.396,491.05936,10953714.0,226.74,13.73,1.68,79.462,98.572,42.2,311.1492,10.5,3.2,4.035865456,6.45,0.756,30.0,66.0
61,67.561,12.5,3.68,66.0,5085.97164,0.307,235.67502,902899.0,49.42,10.84,1.5,64.32000000000001,77.63199999999999,31.3,429.3411865,17.7,3.3,3.420794615,5.61,0.743,55.0,61.0
62,61.487,17.9,7.83,350.0,2137.909393,0.513,71.326,33933611.0,27.22,32.39,0.25,36.68,78.68800000000002,30.5,304.7334143,4.6,13.5,3.200903732,3.37,0.581,29.0,39.0
63,62.077,4.8,2.23,55.0,1428.447177,0.378,29.12529,12451031.0,110.42,39.0,0.27,68.868,84.464,29.6,278.848458,1.1,13.2,2.837943608,4.19,0.545,42.0,38.0
64,69.793,14.6,6.61,236.0,7347.552382,0.3154,481.53305,2397240.0,4.23,23.09,0.35,46.378,83.07,54.0,334.7648475,5.2,3.4,2.692325554,7.73,0.735,55.0,54.0
65,61.981,1.7,11.05,46.0,918.1525819,0.473,42.34453,21497097.0,78.57,42.94,0.53,49.5,82.43800000000002,35.5,289.1908844,2.1,10.5,2.617856789,3.84,0.452,42.0,43.0
66,66.69,24.7,8.08,527.0,8016.990495,0.38,215.01915,2278829.0,8.84,44.39,0.79,46.37799999999999,85.34200000000001,49.7,301.3134308,5.5,6.6,2.78755339,3.4,0.703,31.0,49.0
67,74.529,10.5,1.63,27.0,5025.575573,0.37779999999999997,271.02127,17109746.0,159.67,24.07,0.97,40.982,65.41,28.0,173.1863541,13.1,4.1,2.996330983,4.62,0.663,25.0,57.0
68,61.962,1.8,1.09,179.0,1174.352972,0.296,43.03782,13497237.0,54.93,26.06,0.35,56.95799999999999,77.78800000000001,31.6,295.6353868,2.1,15.6,3.427976247,2.28,0.477,25.0,37.0
69,64.423,12.6,5.37,314.0,673.0890671,0.353,52.56287,5180208.0,53.78,17.98,0.38,54.85600000000001,77.96199999999999,24.9,256.9856486,2.1,10.9,2.361956499,5.43,0.48,29.0,42.0
70,74.17707,25.0,4.78,12.0,8812.108249,0.368,685.94562,1266060.0,623.67,14.46,0.79,72.734,84.86999999999999,44.8,208.4959113,22.6,1.3,2.8820892,8.08,0.804,54.0,65.0
71,74.697,16.2,5.07,42.0,2090.753461,0.37220000000000003,160.75879,6702379.0,55.7,17.61,1.73,44.19,67.3,37.7,236.737503,9.3,3.3,4.017820393,2.69,0.66,20.0,70.0
72,69.329,36.7,7.96,58.0,833.8298757,0.37699999999999995,51.39912,13276517.0,538.16,43.21,0.47,56.958000000000006,45.54,32.8,256.6763837,6.5,5.0,8.457004048,3.1,0.543,53.0,54.0
73,70.623,4.7,2.1,38.0,3127.446248,0.323,104.24961,314464.0,25.8,11.65,1.61,56.92,56.58,36.9,567.9797217,15.6,4.6,3.135942891,6.65,0.609,45.0,52.0
74,78.892,29.1,6.26,6.3,9477.85287,0.35960000000000003,1031.92175,11317498.0,109.03,19.71,11.94,36.64,94.9,47.5,197.3209512,7.6,0.6,7.378500647,2.59,0.783,46.0,80.0
75,69.887,8.2,5.61,188.0,2277.43435,0.4013999999999999,63.74832,1393409033.0,468.66,90.87,134.1,45.91,94.1,18.9,256.3671126,9.6,5.6,2.746207295,6.91,0.645,40.0,61.0
76,80.363,13.9,1.51,34.0,61275.99827,0.3,1807.15393,2930524.0,255.05,91.19,0.51,97.2,100.0,33.0,337.2976394,19.5,0.3,3.688142571,3.65,0.848,63.0,74.0
77,83.42683,25.0,8.45,49.0,34757.72007,0.331,2624.5332,51744876.0,530.61,25.04,3.59,99.94,99.7,46.9,95.40529848,6.8,0.1,3.6108249837999997,8.16,0.916,62.0,87.0
78,75.28,35.0,0.0,8.1,23585.88563,0.3978,1316.26025,35340680.0,16.44,87.95,0.51,59.11,97.0,37.9,332.0878736,18.7,0.4,2.768509509,2.08,0.854,53.0,73.0
79,77.063,24.4,0.63,59.0,3765.03463,0.35,248.20587,44616626.0,18.73,38.88,0.68,17.61,73.69,29.6,396.9652171,7.1,3.2,3.409023002,3.77,0.748,33.0,75.0
80,74.22683,29.3,10.96,26.0,7303.69627,0.244,399.39709,9340314.0,46.02,18.77,0.9,73.9,98.58599999999998,48.5,463.1077799,5.6,0.2,3.688884985,2.41,0.823,41.0,74.0
81,73.60732,16.9,12.46,19.0,11634.97102,0.403,697.89636,6899125.0,63.55,19.15,11.57,72.23,78.06599999999999,51.9,541.0826989,7.4,1.1,3.865832912,6.64,0.816,42.0,70.0
82,72.15,19.1,0.14,11.0,3876.35959,0.315,149.84032,104258327.0,104.73,87.0,0.94,67.06,67.482,35.5,518.1929495,20.9,2.6,3.653140342,2.93,0.707,33.0,70.0
83,70.748,21.6,0.37,27.0,5048.38781,0.3418,253.31464,41179351.0,94.86,61.64,0.92,42.88,64.6,27.8,436.1908097,10.7,4.5,3.618743018,3.51,0.674,23.0,55.0
84,75.3878,16.1,13.19,23.0,20642.16792,0.355,1166.79785,1883162.0,30.33,13.43,1.42,83.41,80.44800000000001,61.1,356.8375908,5.9,0.3,3.440752256,7.31,0.866,59.0,72.0
85,76.901,14.0,0.49,98.0,3496.7583,0.3978,174.22377,37344787.0,83.68,32.59,0.53,39.32,90.72,28.4,459.5011136,9.1,2.7,3.053506342,5.04,0.686,39.0,73.0
86,76.86585,29.7,11.06,3.2,21087.8461,0.232,1342.07483,5447247.0,113.3,17.56,2.61,81.93,100.0,60.0,298.900761,5.8,0.6,3.133854544,7.03,0.86,52.0,77.0
87,80.53171,24.7,12.11,4.1,29200.81988,0.244,2219.10059,2107007.0,104.64,16.02,10.41,71.55,99.5,67.3,151.1431962,5.8,0.0,4.960977269,7.54,0.917,57.0,80.0
88,65.815,7.8,12.04,222.0,1135.53967,0.405,40.3433,61498438.0,69.43,29.08,0.22,26.33,90.89399999999999,34.2,267.1502059,12.3,7.5,6.074772255,5.1,0.529,39.0,46.0
89,77.344,12.5,8.5,150.0,7233.38886,0.35,296.1651,69950844.0,136.92,26.26,10.64,25.93,96.14,38.1,118.6656104,9.7,0.9,3.585017861,6.04,0.777,35.0,83.0
90,76.891,18.1,2.04,36.0,3924.34393,0.3846,233.05931,11935764.0,76.83,37.66,0.36,80.76,83.92,40.7,317.876613,9.6,1.1,3.852451702,5.99,0.74,44.0,70.0
91,78.056,25.4,6.92,32.0,17020.64864,0.402,1660.95288,3485152.0,19.91,9.27,1.54,64.856,94.59,37.4,161.5586285,9.0,0.4,6.128266341,8.85,0.817,73.0,79.0
92,75.224,23.1,4.67,23.0,4670.0088,0.252,523.99908,2968128.0,104.25,32.53,10.02,69.33,79.88,48.3,345.4949644,5.6,1.4,2.236574259,5.49,0.776,49.0,69.0
93,66.953,6.2,2.2,132.0,943.96568,0.3766,26.7422,117876226.0,104.38,38.98,0.86,6.68,39.04,31.8,225.3853895,5.0,9.4,2.848423391,3.3,0.485,39.0,38.0
94,81.135,29.3,10.8,5.7,30798.47656,0.312,1996.45825,1215588.0,131.56,17.29,1.12,77.08,84.86999999999999,58.0,190.26941,8.6,0.0,7.688645288,7.43,0.887,53.0,79.0
95,77.144,7.9,2.87,64.0,3814.71522,0.393,160.69696,22156000.0,358.14,11.1,1.87,44.412,93.33,34.7,215.0111358,11.3,0.5,3.725698018,6.14,0.782,37.0,67.0
96,67.428,15.8,0.31,259.0,1537.93641,0.296,39.49929,225199929.0,292.13,58.28,0.64,47.742,40.16,24.6,357.8837027,30.8,10.6,1.768706856,4.31,0.557,28.0,45.0
97,67.39,5.7,1.98,238.0,514.90586,0.3922,19.84998,28427333.0,48.86,22.54,0.76,10.38,38.19,28.0,401.6722765,4.6,7.3,6.527744732,5.7,0.528,26.0,35.0
98,72.08,23.0,0.21,165.0,30795.0452674,0.374,115.98076,779900.0,20.45,37.93,1.86,65.22,48.98,42.5,246.5552804,10.4,4.5,1.476740788,5.71,0.654,68.0,62.0
99,71.771,3.1,3.91,105.0,3414.892849,0.436,245.92348,11832936.0,10.92,21.57,0.88,52.92,95.356,40.1,214.4267937,5.5,4.5,4.434336358,4.65,0.718,30.0,67.0
100,53.679,11.8,1.71,540.0,511.4847456,0.3498,37.19958,4919987.0,7.9,56.83,0.4,13.6,11.52,44.9,417.1225226,5.8,18.8,3.514466557,1.43,0.397,24.0,32.0
101,58.104,16.9,3.04,135.0,2578.760412,0.372,75.08779,27053629.0,85.07,25.89,0.39,34.508,54.47,32.8,269.7213159,2.1,12.5,3.215452541,4.22,0.538,36.0,45.0
102,60.971,7.3,1.1,319.0,584.1064092,0.3634,20.57073,92377986.0,40.75,44.91,0.3,12.69,40.42,36.9,319.8749967,5.8,11.4,3.034801237,1.4,0.48,19.0,39.0
103,67.49,11.3,0.36,224.0,3363.712048,0.416,61.80943,1002197.0,43.24,45.55,1.04,37.08,84.87,47.5,284.3599777,7.4,8.6,4.299681169,2.74,0.524,30.0,48.0
104,73.533,17.4,4.09,55.0,4408.520365,0.388,300.05328,6518500.0,314.6,24.47,1.34,44.19,77.45,40.8,150.2840502,6.3,1.7,5.717632128,5.72,0.673,34.0,76.0
105,60.721,35.9,8.78,319.0,4214.861688,0.546,264.05515,1172369.0,68.16,17.17,0.48,73.84399999999998,88.72,44.9,339.8267144,4.6,7.2,4.821317425,3.08,0.611,32.0,58.0
106,62.383,17.4,3.36,157.0,835.5944214,0.35,29.7258,2486937.0,245.74,33.98,0.31,28.97,66.9,36.4,318.4738439,1.9,8.9,2.870146454,4.41,0.496,37.0,48.0
107,75.448,11.9,3.93,30.0,2831.033021,0.482,187.55434,10062994.0,89.94,20.63,1.4,49.68,97.326,36.5,297.7172007,5.1,2.2,3.938948994,5.1,0.634,23.0,63.0
108,68.219,12.4,12.08,149.0,2551.326081,0.388,68.22131,7379358.0,31.97,25.11,105.5,61.38,26.99,30.7,379.1330463,6.2,2.3,2.224440411,1.77,0.613,30.0,50.0
109,64.694,10.8,4.08,141.0,642.6569158,0.385,30.40029,19647681.0,208.4,23.57,0.2,24.21,83.772,40.6,258.9105564,7.3,6.9,3.814950834,5.74,0.483,35.0,48.0
110,59.692,8.7,1.31,52.0,917.9130633,0.361,34.28178,20855724.0,17.09,38.53,0.51,19.92,82.43799999999999,28.5,276.1848578,2.1,17.2,2.178379563,3.48,0.434,29.0,42.0
111,71.067,5.5,0.62,235.0,1222.878794,0.4202,53.2464,29674920.0,207.01,99.73,122.3,48.64,24.67,28.3,245.3822158,8.7,4.4,1.108967278,4.41,0.602,33.0,53.0
112,62.792,7.9,0.52,83.0,594.9251089,0.373,31.39764,25130810.0,19.84,94.05,0.12,16.19,72.38199999999999,37.7,276.344163,5.2,12.4,2.757088183,3.22,0.394,31.0,37.0
113,70.583,6.4,5.8,118.0,2449.333442,0.407,108.4464,223364.0,232.67,28.54,10.69,34.66,40.11,52.9,319.7489397,5.5,4.6,4.396086038,6.65,0.625,45.0,60.0
114,68.213,11.2,0.73,117.0,1606.472061,0.381,59.09758,17196308.0,89.32,40.7,0.38,24.12,62.907999999999994,33.9,255.1053979,3.1,6.4,2.360603395,5.53,0.512,43.0,49.0
115,71.802,108.9,7.4,29.0,4836.332633,0.33740000000000003,619.24713,591798.0,3.79,24.78,1.8,25.18,63.41,45.9,252.267293,12.7,1.4,5.585547728,6.82,0.738,39.0,67.0
116,63.713,2.5,12.48,196.0,858.0575127,0.427,32.40844,47123533.0,235.01,50.49,0.56,45.910000000000004,42.8,35.8,246.4402588,4.6,6.5,5.03431518,4.48,0.544,27.0,50.0
117,76.813,19.7,9.45,31.0,10729.23258,0.423,945.99194,45808747.0,16.74,13.31,1.39,26.0,99.1,41.1,183.9330924,5.4,0.7,7.544871667,6.81,0.845,38.0,73.0
118,83.2,20.1,10.36,7.3,59934.12941,0.343,5427.4624,25739256.0,3.35,8.55,1.0,74.26,98.96,60.1,108.1264295,6.4,0.1,9.658272152,8.9,0.944,73.0,87.0
119,81.19268,18.8,11.93,4.9,53267.93275,0.302,5242.18311,8956279.0,108.53,12.48,1.45,99.64,100.0,66.5,150.5649416,4.6,0.1,5.720266549,8.07,0.922,74.0,82.0
120,80.79512,14.3,10.8,7.7,51767.78857,0.272,4960.39356,11587882.0,382.69,12.89,13.66,88.82,100.0,58.2,118.6472238,3.6,0.1,5.071598783,7.51,0.931,73.0,85.0
121,76.084,22.8,7.32,45.0,7518.83428,0.489,853.38794,213993441.0,25.6,12.71,1.39,48.71,87.84,43.6,175.6614533,8.8,1.2,5.131950501,6.86,0.765,38.0,75.0
122,81.74878,27.6,8.81,5.9,52051.35146,0.301,5048.37256,38246108.0,4.27,6.43,0.87,84.37,99.8,50.0,107.9212122,7.7,0.1,5.321987301,8.87,0.929,74.0,89.0
123,80.329,9.2,8.95,15.0,16502.83857,0.449,1375.80298,19212362.0,25.84,21.04,11.62,78.6,98.77,46.7,126.8360351,10.8,0.2,5.635861542,7.92,0.851,67.0,80.0
124,77.097,22.3,6.04,59.0,12556.33312,0.382,535.13336,1412360000.0,149.86,52.66,13.44,69.66,95.04,28.4,276.9374964,10.6,1.2,2.112704079,2.21,0.761,45.0,82.0
125,80.465,18.8,4.07,10.0,12508.61563,0.493,921.58575,5139053.0,100.65,15.73,0.86,30.2,80.39,46.3,128.486014,8.8,0.4,5.887514093,8.07,0.81,58.0,78.0
126,78.22683,24.6,9.8,3.9,26378.49996,0.253,1844.21777,10703446.0,138.65,16.07,3.92,85.2,97.96,59.9,232.2260811,7.1,0.2,3.294122645,7.74,0.9,54.0,78.0
127,81.55122,24.6,10.13,4.9,67803.0471,0.277,6003.3252,5856733.0,146.42,10.03,11.3,91.89,100.0,77.9,118.7845718,5.3,0.1,5.287891661,9.09,0.94,88.0,85.0
128,78.34634,23.3,10.75,10.0,27280.65844,0.308,1598.81885,1329254.0,30.58,6.73,1.64,93.06,99.6,61.4,270.5599766,6.5,0.2,2.242233157,7.84,0.892,74.0,78.0
129,82.13171,17.8,10.65,3.6,53982.61427,0.277,4450.30273,5541696.0,18.23,5.86,0.22,84.1,100.0,76.5,173.8077099,6.1,0.0,6.701333177,9.27,0.938,88.0,83.0
130,82.17561,14.4,12.23,8.2,43518.53851,0.292,4491.73535,67499343.0,123.27,11.81,10.02,78.59,99.64,62.5,91.41488191,5.3,0.1,7.220191197,7.99,0.901,71.0,84.0
131,80.94146,15.1,12.79,5.5,50801.78671,0.317,5440.25147,83129285.0,237.93,12.03,2.74,97.13,100.0,62.4,159.3591751,6.9,0.1,4.552763339,8.67,0.947,80.0,86.0
132,81.0878,21.0,10.5,4.5,20276.54467,0.331,1500.59497,10664568.0,82.74,16.22,11.42,91.72,100.0,56.2,186.7683068,6.4,0.2,5.787818078,7.56,0.888,49.0,78.0
133,83.06585,27.0,9.21,2.8,68383.76534,0.261,6274.95947,372295.0,3.69,6.48,0.88,83.69,100.0,62.8,109.1261527,5.5,0.0,7.9011076,9.18,0.949,74.0,87.0
134,71.908,11.0,0.22,301.0,4291.81255,0.37,120.12496,276361788.0,147.2,16.5,11.62,60.0,87.4,28.2,383.2611536,10.6,4.0,3.577035128,6.71,0.718,38.0,59.0
135,76.87,20.9,12.0,13.0,2756.74998,0.409,470.4346,85028760.0,52.2,38.98,0.79,60.0,96.15,34.5,277.7335894,9.1,2.0,3.438800939,1.95,0.783,25.0,77.0
136,82.20488,23.2,12.75,5.3,99152.10257,0.306,5428.58887,5028230.0,72.99,8.21,1.57,82.9,97.9,57.4,132.7733536,3.0,0.1,7.562604639,9.0,0.955,74.0,83.0
137,82.7,18.9,4.38,2.1,51430.07968,0.342,3456.38696,9364000.0,432.72,21.38,1.9,94.96,99.34,48.2,96.59198295,8.5,0.0,5.367342012,7.97,0.919,59.0,84.0
