,Life Expectancy,Cigarette consumption,Alcohol consumption,Incidence of tuberculosis per 100000 per year,GDP per Capita (Current US$),Income Gini Coefficient,Current health expenditure per capita (current US$),Total Population,"Population Density, Number of People/km2","Ambient Air Pollution, Concentration of Fine Particulate Matter PM2.5 (Ug/M3)",Ambient and Household Air Pollution Attributable Death Rate (per 100 000 Population),People using safely managed sanitation services (% of population),"People using safely managed drinking water services, urban (% of urban population)",EPI score,cardiovascular-disease-death-rates,Diabetes prevalence (% of population ages 20 to 79),Acute lower respiratory infections,asthma-prevalence,Democracy Index,"Human Development Index, 2019",Corruption Perceptions Index 2021,UHC service coverage index
166,76.947,4.0,6.78,116.0,6692.24838,0.438,370.10995,33359416.0,26.06,24.79,13.75,52.81,59.35,39.8,88.61384216,4.8,1.5,4.560049468,6.09,0.777,36.0,78.0
167,71.18512,20.1,8.34,73.0,4835.57178,0.256,248.13348,43814581.0,75.62,20.31,1.49,71.96,88.7,49.6,591.0062395,5.6,0.7,3.479519594,5.57,0.779,32.0,73.0
168,61.738,20.6,4.52,193.0,1737.17398,0.503,103.02827,15092171.0,39.01,22.25,0.47,25.65,64.58,46.2,321.0227996,2.1,6.8,2.083217913,2.92,0.571,23.0,55.0
169,74.22927,23.5,8.85,13.0,9214.99355,0.345,641.02502,6844078.0,78.25,24.73,109.1,18.35,81.52,43.9,448.8363594,9.1,0.2,3.052209013,6.36,0.806,38.0,71.0
170,71.36,21.4,7.02,539.0,3548.82832,0.423,142.07877,111046910.0,372.43,18.07,103.1,60.64,61.8,28.9,307.3220608,7.1,4.4,4.812910169,6.56,0.718,33.0,55.0
171,55.066,4.5,5.31,298.0,515.93209,0.357,46.15796,8141343.0,112.79,21.63,0.31,14.05,12.52,32.7,291.2894186,2.1,14.4,2.808053383,4.97,0.452,34.0,39.0
172,67.363,10.0,2.14,308.0,1187.23848,0.307,60.01587,54806014.0,83.96,35.56,10.17,60.71,73.77,19.4,352.7244029,7.1,7.3,2.075979633,1.02,0.583,28.0,61.0
173,75.93171,23.6,12.24,16.0,9367.01688,0.368,735.15887,620173.0,46.11,20.78,10.02,45.44,87.32,46.9,435.5154955,9.1,0.1,3.892732957,6.02,0.829,46.0,67.0
174,70.056,13.9,5.9,437.0,4534.91859,0.327,163.44186,3329282.0,2.14,40.11,115.2,55.54,38.59,29.6,570.0209327,6.9,2.5,2.239323787,6.42,0.737,35.0,63.0
175,72.868,3.0,0.0,218.0,2503.04388,0.324,45.85716,166303494.0,1277.59,60.85,103.4,38.67,52.78,23.1,283.8712301,14.2,4.5,1.431592376,5.99,0.632,26.0,51.0
176,77.216,14.8,3.27,48.0,5934.875496,0.473,486.49216,17888474.0,72.03,14.89,0.72,41.63,74.65,46.5,163.6550012,4.4,1.8,4.180687564,5.71,0.759,36.0,80.0
177,64.347,15.1,2.78,143.0,2445.290749,0.435,75.28166,31732128.0,139.46,34.71,0.31,13.32,60.25,27.7,310.606548,2.6,5.6,2.168311692,6.5,0.611,43.0,45.0
178,58.634,8.2,5.54,361.0,812.962373,0.348,62.57558,2015490.0,71.67,29.77,0.53,12.16,40.93,40.2,370.6325502,2.1,12.0,3.18421615,2.75,0.48,21.0,37.0
179,71.8,17.6,4.85,105.0,1276.242643,0.29,62.14478,6694200.0,34.9,22.74,1.16,92.47,91.85,35.7,466.3129965,6.6,4.1,2.561045589,3.62,0.697,27.0,70.0
180,54.836,24.7,5.08,650.0,1166.461667,0.449,124.19363,2159067.0,71.12,28.03,0.44,47.62,77.74,32.3,399.8600499,4.6,10.6,1.433912979,6.3,0.527,38.0,48.0
181,55.018,14.7,6.19,219.0,2085.030765,0.351,71.46573,211400704.0,232.11,71.8,0.29,30.51,25.39,28.3,235.6520169,3.6,18.3,3.678254974,4.11,0.539,24.0,44.0
182,75.69317,18.8,6.43,12.0,6720.896285,0.33,436.88718,2065092.0,81.88,29.73,109.4,12.2,84.57,54.3,568.7036807,6.1,0.7,5.576464439,6.03,0.774,39.0,68.0
183,74.363,23.2,7.01,48.0,5400.103826,0.435,388.39325,7219641.0,18.17,11.91,1.59,60.13,72.21,40.9,187.905196,7.5,2.3,5.70723507,5.86,0.728,30.0,61.0
184,74.35366,19.6,12.34,64.0,14861.90917,0.348,738.55817,19115146.0,83.08,14.61,10.18,83.14,94.95,56.0,379.6263983,6.5,2.2,4.468825779,6.43,0.828,45.0,71.0
185,61.34,24.7,2.66,36.0,992.3284294,0.424,51.15503,8478242.0,155.88,35.73,0.27,9.13,36.77,34.0,292.4521461,2.1,8.7,3.679637175,2.8,0.515,30.0,44.0
